0041	\u{0410}
0042	\u{0412}
0043	\u{0421}
0045	\u{0415}
0047	\u{050C}
0048	\u{041D}
0049	\u{0406}
004A	\u{0408}
004B	\u{041A}
004D	\u{041C}
004F	\u{041E}
0050	\u{0420}
0053	\u{0405}
0054	\u{0422}
0056	\u{0474}
0057	\u{051C}
0058	\u{0425}
0059	\u{0423}
0061	\u{0430}
0062	\u{044C}
0063	\u{0441}
0064	\u{0501}
0065	\u{0435}
0068	\u{04BB}
0069	\u{0456}
006A	\u{0458}
006C	\u{04CF}
006F	\u{043E}
0070	\u{0440}
0071	\u{051B}
0072	\u{0433}
0073	\u{0455}
0076	\u{0475}
0077	\u{0448}
0078	\u{0445}
0079	\u{0443}
007C	\u{04CF}
00A5	\u{04B0}
00C6	\u{04D4}
00C7	\u{04AA}
00D7	\u{0445}
00E6	\u{04D5}
00E7	\u{04AB}
00FE	\u{0440}
0127	\u{045B}
0131	\u{0456}
0138	\u{043A}
0180	\u{0463}
0182	\u{0411}
0183	\u{0431}
0184	\u{042C}
0185	\u{044C}
018F	\u{04D8}
0190	\u{0510}
0196	\u{0406}
019F	\u{0472}
01A7	\u{A644}
01A8	\u{A645}
01B7	\u{0417}
01BD	\u{0455}
01BF	\u{0440}
01C0	\u{04CF}
01DD	\u{04D9}
01F6	\u{050A}
021C	\u{0417}
021D	\u{04E1}
0245	\u{041B}
024D	\u{0493}
024E	\u{04B0}
024F	\u{04B1}
0251	\u{0430}
0259	\u{04D9}
025B	\u{0454}
025C	\u{0437}
0262	\u{050D}
0263	\u{0443}
0266	\u{A695}
0269	\u{0456}
026A	\u{0456}
026F	\u{0448}
0275	\u{0473}
0278	\u{0444}
028D	\u{043C}
028F	\u{0443}
0292	\u{04E1}
0298	\u{A669}
0299	\u{0432}
029C	\u{043D}
02C7	\u{A67E}
02D8	\u{A67E}
02DB	\u{0456}
0306	\u{A67C}
030A	\u{2DEA}
030C	\u{A67C}
0363	\u{2DF6}
0364	\u{2DF7}
0366	\u{2DEA}
0368	\u{2DED}
036E	\u{A67C}
036F	\u{2DEF}
0376	\u{0418}
0377	\u{0438}
037A	\u{0456}
037F	\u{0408}
0391	\u{0410}
0392	\u{0412}
0393	\u{0413}
0395	\u{0415}
0397	\u{041D}
0398	\u{0472}
0399	\u{0406}
039A	\u{041A}
039B	\u{041B}
039C	\u{041C}
039F	\u{041E}
03A0	\u{041F}
03A1	\u{0420}
03A4	\u{0422}
03A5	\u{0423}
03A6	\u{0424}
03A7	\u{0425}
03A8	\u{0470}
03B1	\u{0430}
03B3	\u{0443}
03B5	\u{0454}
03B8	\u{0473}
03B9	\u{0456}
03BA	\u{043A}
03BD	\u{0475}
03BF	\u{043E}
03C0	\u{043F}
03C1	\u{0440}
03C3	\u{043E}
03C4	\u{0442}
03C6	\u{0444}
03C8	\u{0471}
03C9	\u{A64D}
03D1	\u{0473}
03D2	\u{0423}
03D5	\u{0444}
03D6	\u{043F}
03E4	\u{0427}
03E5	\u{0447}
03E8	\u{A644}
03E9	\u{A645}
03EC	\u{0411}
03ED	\u{043E}
03F0	\u{043A}
03F1	\u{0440}
03F2	\u{0441}
03F3	\u{0458}
03F4	\u{0472}
03F5	\u{0454}
03F8	\u{0440}
03F9	\u{0421}
03FA	\u{041C}
054F	\u{0405}
0553	\u{0424}
0555	\u{041E}
0561	\u{0448}
0563	\u{051B}
0566	\u{051B}
0570	\u{04BB}
0582	\u{0456}
0585	\u{043E}
05AF	\u{2DEA}
05C0	\u{04CF}
05D5	\u{04CF}
05D8	\u{0475}
05DF	\u{04CF}
05E1	\u{043E}
0627	\u{04CF}
0647	\u{043E}
0652	\u{2DEA}
0658	\u{A67C}
065A	\u{A67C}
0661	\u{04CF}
0665	\u{043E}
0667	\u{0474}
0668	\u{041B}
06BE	\u{043E}
06C1	\u{043E}
06D5	\u{043E}
06DF	\u{2DEA}
06F1	\u{04CF}
06F5	\u{043E}
06F7	\u{0474}
06F8	\u{041B}
07C0	\u{041E}
07CA	\u{04CF}
0945	\u{A67C}
0966	\u{043E}
0969	\u{0417}
09E6	\u{043E}
0A66	\u{043E}
0AAA	\u{0447}
0AE6	\u{043E}
0AE9	\u{0417}
0AEB	\u{0447}
0B20	\u{041E}
0B66	\u{043E}
0B82	\u{2DEA}
0BE6	\u{043E}
0C02	\u{043E}
0C66	\u{043E}
0C82	\u{043E}
0CE6	\u{041E}
0D02	\u{043E}
0D1F	\u{0455}
0D20	\u{043E}
0D66	\u{043E}
0D82	\u{043E}
0E4D	\u{2DEA}
0E50	\u{043E}
0ECD	\u{2DEA}
0ED0	\u{043E}
1004	\u{0441}
101D	\u{043E}
1036	\u{2DEA}
1040	\u{043E}
105A	\u{0441}
10E7	\u{0443}
10F3	\u{04E1}
10FF	\u{043E}
1240	\u{0424}
12D0	\u{041E}
13A2	\u{0422}
13A5	\u{0406}
13A9	\u{0423}
13AA	\u{0410}
13AB	\u{0408}
13AC	\u{0415}
13B1	\u{0413}
13B3	\u{051C}
13B7	\u{041C}
13BB	\u{041D}
13BD	\u{0423}
13BE	\u{0472}
13C0	\u{050C}
13C2	\u{04BA}
13C7	\u{0460}
13CB	\u{0510}
13CF	\u{042C}
13D4	\u{051C}
13D5	\u{0405}
13D9	\u{0474}
13DA	\u{0405}
13DF	\u{0421}
13E2	\u{0420}
13E6	\u{041A}
13E7	\u{0500}
13EB	\u{0472}
13EE	\u{0411}
13F2	\u{A694}
13F3	\u{050C}
13F4	\u{0412}
13FB	\u{050D}
13FC	\u{0432}
142F	\u{0474}
1431	\u{041B}
146D	\u{0420}
146F	\u{0501}
1472	\u{042C}
148D	\u{0408}
14A5	\u{0413}
14BF	\u{A644}
1541	\u{0445}
157C	\u{041D}
157D	\u{0445}
15AF	\u{042C}
15C5	\u{0410}
15EF	\u{0460}
15F0	\u{041C}
15F7	\u{0412}
166D	\u{0425}
166E	\u{0445}
16B7	\u{0425}
16C1	\u{04CF}
16D5	\u{041A}
16D6	\u{041C}
16D8	\u{0470}
16F0	\u{0424}
17C6	\u{2DEA}
17D3	\u{2DEA}
17E0	\u{043E}
1ADB	\u{2DEE}
1D04	\u{0441}
1D08	\u{0437}
1D0B	\u{043A}
1D0D	\u{043C}
1D0E	\u{0438}
1D0F	\u{043E}
1D11	\u{043E}
1D19	\u{044F}
1D1B	\u{0442}
1D20	\u{0475}
1D21	\u{0448}
1D24	\u{A645}
1D26	\u{0433}
1D28	\u{043F}
1D2B	\u{043B}
1D8C	\u{0443}
1DDF	\u{2DE8}
1DEE	\u{2DEC}
1EFF	\u{0443}
1FBE	\u{0456}
20AC	\u{0404}
20AD	\u{049E}
20E9	\u{A66F}
2102	\u{0421}
2107	\u{0510}
2108	\u{042D}
210B	\u{041D}
210C	\u{041D}
210D	\u{041D}
210E	\u{04BB}
210F	\u{045B}
2110	\u{0406}
2111	\u{0406}
2113	\u{04CF}
2119	\u{0420}
212A	\u{041A}
212C	\u{0412}
212D	\u{0421}
212E	\u{0435}
212F	\u{0435}
2130	\u{0415}
2133	\u{041C}
2134	\u{043E}
2139	\u{0456}
213C	\u{043F}
213D	\u{0443}
213E	\u{0413}
213F	\u{041F}
2146	\u{0501}
2147	\u{0435}
2148	\u{0456}
2149	\u{0458}
2160	\u{04CF}
2164	\u{0474}
2169	\u{0425}
216D	\u{0421}
216F	\u{041C}
2170	\u{0456}
2174	\u{0475}
2179	\u{0445}
217C	\u{04CF}
217D	\u{0441}
217E	\u{0501}
220F	\u{041F}
221E	\u{A699}
2223	\u{04CF}
2228	\u{0475}
2295	\u{A69A}
2296	\u{0472}
2299	\u{A668}
229D	\u{0472}
22A4	\u{0422}
22C1	\u{0475}
22F4	\u{0454}
22FF	\u{0415}
236C	\u{0472}
2373	\u{0456}
2374	\u{0440}
2375	\u{A64D}
237A	\u{0430}
23FD	\u{04CF}
2573	\u{0425}
2609	\u{A668}
27D9	\u{0422}
292B	\u{0445}
292C	\u{0445}
2A00	\u{A668}
2A01	\u{A69A}
2A2F	\u{0445}
2C67	\u{04A2}
2C69	\u{049A}
2C82	\u{0412}
2C83	\u{0432}
2C84	\u{0413}
2C85	\u{0433}
2C88	\u{0404}
2C89	\u{0454}
2C8E	\u{041D}
2C8F	\u{043D}
2C90	\u{0472}
2C91	\u{0473}
2C92	\u{0406}
2C93	\u{0456}
2C94	\u{041A}
2C95	\u{043A}
2C98	\u{041C}
2C99	\u{043C}
2C9C	\u{0417}
2C9E	\u{041E}
2C9F	\u{043E}
2CA0	\u{041F}
2CA1	\u{043F}
2CA2	\u{0420}
2CA3	\u{0440}
2CA4	\u{0421}
2CA5	\u{0441}
2CA6	\u{0422}
2CA7	\u{0442}
2CA8	\u{0423}
2CA9	\u{0443}
2CAA	\u{0424}
2CAB	\u{0444}
2CAC	\u{0425}
2CAE	\u{0470}
2CAF	\u{0471}
2CB0	\u{A64C}
2CB1	\u{A64D}
2CBC	\u{0428}
2CBD	\u{0448}
2CC4	\u{0417}
2CC5	\u{04E1}
2CCC	\u{0417}
2CCD	\u{04E1}
2CCE	\u{0420}
2CCF	\u{0440}
2CD2	\u{0411}
2CD3	\u{0431}
2CDC	\u{0411}
2CE0	\u{0424}
2CE1	\u{0444}
2D31	\u{0472}
2D37	\u{041B}
2D38	\u{0474}
2D39	\u{0415}
2D4F	\u{04CF}
2D54	\u{041E}
2D59	\u{A668}
2D5D	\u{0425}
3007	\u{041E}
309A	\u{2DEA}
A4D0	\u{0412}
A4D1	\u{0420}
A4D2	\u{0501}
A4D4	\u{0422}
A4D6	\u{050C}
A4D7	\u{041A}
A4D9	\u{0408}
A4DA	\u{0421}
A4DF	\u{041C}
A4E2	\u{0405}
A4E5	\u{041B}
A4E6	\u{0474}
A4E7	\u{041D}
A4EA	\u{051C}
A4EB	\u{0425}
A4EC	\u{0423}
A4EE	\u{0410}
A4F0	\u{0415}
A4F2	\u{04CF}
A4F3	\u{041E}
A6A1	\u{0418}
A6CE	\u{041B}
A6DB	\u{041F}
A6DF	\u{0474}
A6EF	\u{A644}
A731	\u{0455}
A740	\u{049E}
A74A	\u{0472}
A74B	\u{0473}
A74E	\u{A698}
A74F	\u{A699}
A75A	\u{A644}
A76A	\u{0417}
A76B	\u{04E1}
A792	\u{0404}
A793	\u{0454}
A7AB	\u{0417}
A7B2	\u{0408}
A7B3	\u{0425}
A7B4	\u{0412}
A7B6	\u{A64C}
A7B7	\u{A64D}
A7DA	\u{041B}
AB32	\u{0435}
AB3D	\u{043E}
AB47	\u{0433}
AB48	\u{0433}
AB5A	\u{0443}
AB60	\u{0459}
AB72	\u{0442}
AB75	\u{0456}
AB81	\u{0433}
AB83	\u{0448}
AB87	\u{043C}
AB8B	\u{043D}
AB8E	\u{0473}
AB90	\u{050D}
AB9B	\u{0454}
AB9F	\u{044C}
ABA9	\u{0475}
ABAA	\u{0455}
ABAF	\u{0441}
ABB6	\u{043A}
ABBB	\u{0473}
FBA6	\u{043E}
FBA7	\u{043E}
FBA8	\u{043E}
FBA9	\u{043E}
FBAA	\u{043E}
FBAB	\u{043E}
FBAC	\u{043E}
FBAD	\u{043E}
FE8D	\u{04CF}
FE8E	\u{04CF}
FEE9	\u{043E}
FEEA	\u{043E}
FEEB	\u{043E}
FEEC	\u{043E}
FF21	\u{0410}
FF22	\u{0412}
FF23	\u{0421}
FF25	\u{0415}
FF28	\u{041D}
FF29	\u{0406}
FF2A	\u{0408}
FF2B	\u{041A}
FF2D	\u{041C}
FF2F	\u{041E}
FF30	\u{0420}
FF33	\u{0405}
FF34	\u{0422}
FF38	\u{0425}
FF39	\u{0423}
FF41	\u{0430}
FF43	\u{0441}
FF45	\u{0435}
FF48	\u{04BB}
FF49	\u{0456}
FF4A	\u{0458}
FF4C	\u{04CF}
FF4F	\u{043E}
FF50	\u{0440}
FF53	\u{0455}
FF56	\u{0475}
FF58	\u{0445}
FF59	\u{0443}
FFE8	\u{04CF}
10282	\u{0412}
10286	\u{0415}
1028A	\u{04CF}
1028D	\u{041B}
10290	\u{0425}
10292	\u{041E}
10295	\u{0420}
10296	\u{0405}
10297	\u{0422}
102A0	\u{0410}
102A1	\u{0412}
102A2	\u{0421}
102A8	\u{A69A}
102AB	\u{041E}
102B0	\u{041C}
102B1	\u{0422}
102B2	\u{0423}
102B3	\u{0424}
102B4	\u{0425}
102B5	\u{0470}
102CF	\u{041D}
10301	\u{0412}
10302	\u{0421}
10309	\u{04CF}
10311	\u{041C}
10315	\u{0422}
10317	\u{0425}
10320	\u{04CF}
10322	\u{0425}
10401	\u{0510}
10404	\u{041E}
10415	\u{0421}
10420	\u{0405}
10425	\u{0418}
10429	\u{0454}
1042C	\u{043E}
1043D	\u{0441}
10448	\u{0455}
1044D	\u{0438}
104B0	\u{041B}
104BC	\u{04C3}
104C2	\u{041E}
104C3	\u{A668}
104CD	\u{040B}
104D1	\u{0470}
104EA	\u{043E}
104EB	\u{A669}
104F9	\u{0471}
10516	\u{041E}
10518	\u{041A}
1051C	\u{0421}
1051D	\u{0474}
10527	\u{0425}
11300	\u{2DEA}
114D0	\u{043E}
11706	\u{0475}
1170A	\u{0448}
1170E	\u{0448}
1170F	\u{0448}
118A0	\u{0474}
118A4	\u{0423}
118A6	\u{0415}
118AE	\u{0415}
118B5	\u{041E}
118BC	\u{0422}
118C0	\u{0475}
118C1	\u{0455}
118C3	\u{0456}
118C8	\u{043E}
118CA	\u{0437}
118CE	\u{0454}
118D5	\u{0431}
118D7	\u{043E}
118DC	\u{0443}
118E0	\u{041E}
118E6	\u{051C}
118E9	\u{0421}
118EC	\u{0425}
118EF	\u{051C}
118F2	\u{0421}
11B66	\u{A67C}
11DDA	\u{04CF}
11DE0	\u{041E}
11DE1	\u{04CF}
16EA6	\u{041F}
16EAA	\u{04CF}
16EB6	\u{042C}
16EC1	\u{043F}
16ED1	\u{044C}
16F07	\u{0413}
16F08	\u{0474}
16F0A	\u{0422}
16F1C	\u{A658}
16F28	\u{04CF}
16F2D	\u{0510}
16F3A	\u{0405}
16F3B	\u{0417}
16F3D	\u{041B}
16F40	\u{0410}
16F43	\u{0423}
1CCD6	\u{0410}
1CCD7	\u{0412}
1CCD8	\u{0421}
1CCDA	\u{0415}
1CCDC	\u{050C}
1CCDD	\u{041D}
1CCDE	\u{04CF}
1CCDF	\u{0408}
1CCE0	\u{041A}
1CCE2	\u{041C}
1CCE4	\u{041E}
1CCE5	\u{0420}
1CCE8	\u{0405}
1CCE9	\u{0422}
1CCEB	\u{0474}
1CCEC	\u{051C}
1CCED	\u{0425}
1CCEE	\u{0423}
1CCF0	\u{041E}
1CCF1	\u{04CF}
1CCF2	\u{A644}
1CCF3	\u{0417}
1CCF6	\u{0431}
1D202	\u{04FE}
1D206	\u{0417}
1D20B	\u{0418}
1D20D	\u{0474}
1D21A	\u{0472}
1D221	\u{0510}
1D222	\u{0460}
1D400	\u{0410}
1D401	\u{0412}
1D402	\u{0421}
1D404	\u{0415}
1D406	\u{050C}
1D407	\u{041D}
1D408	\u{0406}
1D409	\u{0408}
1D40A	\u{041A}
1D40C	\u{041C}
1D40E	\u{041E}
1D40F	\u{0420}
1D412	\u{0405}
1D413	\u{0422}
1D415	\u{0474}
1D416	\u{051C}
1D417	\u{0425}
1D418	\u{0423}
1D41A	\u{0430}
1D41B	\u{044C}
1D41C	\u{0441}
1D41D	\u{0501}
1D41E	\u{0435}
1D421	\u{04BB}
1D422	\u{0456}
1D423	\u{0458}
1D425	\u{04CF}
1D428	\u{043E}
1D429	\u{0440}
